StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   189501,   3.32,  26.69,   1.47,   1.47,   4.42,   1.47,      6,   1017,    1.8, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,  16.52,  36.86,
      110,      00,   189502,   1.41,   26.6,   -.45,    .87,  -1.35,    .07,      1,    974,  -1.69,    .51, -99.99, -99.99, -99.99, -99.99, -99.99,  15.57,  37.65,
      110,      00,   189503,   1.99,  39.97,   -.83,   -.83,  -1.27,   -.83,     13,    692,   -1.1,   -2.1,   -.17, -99.99, -99.99, -99.99, -99.99,  27.86,  52.07,
      110,      00,   189504,   1.99,   52.9,  -1.42,  -1.42,  -2.02,  -1.42,     27,    345,  -1.25,  -1.63,  -2.82, -99.99, -99.99, -99.99, -99.99,  39.45,  66.33,
      110,      00,   189505,   2.88,  59.94,    .04,  -1.23,    .11,  -1.09,     88,    155,   -.04,   -.78,  -1.15, -99.99, -99.99, -99.99, -99.99,  47.05,  72.81,
      110,      00,   189506,   2.95,   67.8,     .2,   -.94,    .51,   -.44,    225,     34,   -.04,   -.08,   -.61,   -.59, -99.99, -99.99, -99.99,  54.72,  80.89,
      110,      00,   189507,      3,  71.24,    .77,    .77,   1.77,    .77,    256,     19,    .56,    .27,    .12,   -1.1, -99.99, -99.99, -99.99,  58.55,  83.91,
      110,      00,   189508,   2.53,  71.62,    .93,    .93,    .72,    .93,    282,     17,   -.23,    .13,    .08,   -.76, -99.99, -99.99, -99.99,  58.32,   84.9,
      110,      00,   189509,   1.58,  65.57,   -.89,   -.89,  -2.67,   -.89,    190,     59,  -1.97,  -1.66,  -1.05,  -1.03,   -.96, -99.99, -99.99,  52.38,  78.73,
      110,      00,   189510,   1.08,  50.85,  -1.42,  -1.42,  -1.87,  -1.42,     31,    388,  -2.02,  -2.48,  -2.27,  -1.35,   -1.9, -99.99, -99.99,  37.15,  64.54,
      110,      00,   189511,   2.29,  39.16,    .05,  -1.23,    .14,  -1.07,      9,    600,    .11,  -1.23,   -1.8,  -1.23,  -1.45, -99.99, -99.99,  28.24,  50.09,
      110,      00,   189512,   2.53,  31.71,     .1,  -1.05,    .16,   -.72,      3,    843,    .28,    .27,    -.8,  -1.11,  -1.13,  -1.12, -99.99,  21.33,  42.08,
